rank,rankValue,songName,singerName
1,0,银河与星斗,yihuik苡慧
2,0,好久不见,陆政廷Lil Jet
3,4,风吹一夏,DP龙猪/Swei水/Rays陈袁
4,1,小小孩,时代少年团
5,0,漫步宇宙,蓝心羽
6,0,流星也为你落下来了,王源
7,75,被人,薛之谦
8,4,陪你看星星,陈子晴
9,0,别想他,悦开心
10,2,0222心动-比尔的歌,Bomb比尔
11,0,Raining,Lil Ghost小鬼
12,0,假装 (吉他版),刘大壮
13,11,蜜雪冰城主题曲 (官方版),蜜雪冰城
14,4,海平面的星,Zkaaai/红宇乐团
15,0,空欢喜,王靖雯不胖
16,39,Bad Habits,Ed Sheeran
17,13,国际歌,孙楠/周深
18,5,i恋,周深
19,2,不良少年,Lil Ghost小鬼
20,0,鼓楼,王赫野
1,303%,被人,薛之谦
2,55%,Ring Ring Ring,吴可儿Woo
3,43%,蜜雪冰城主题曲 (官方版),蜜雪冰城
4,39%,怎叹,郑鱼
5,34%,Ring Ring Ring,何曼婷
6,26%,雾里,姚六一
7,21%,潮汐(Natural),安苏羽/傅梦彤
8,20%,踏山河,是七叔呢
9,19%,半生雪,是七叔呢
10,18%,Bad Habits,Ed Sheeran
11,17%,风吹一夏,DP龙猪/Swei水/Rays陈袁
12,17%,Ring Ring Ring,不是花火呀
13,16%,牵丝戏 (DJ亚明版),不只中二
14,16%,沦陷,王靖雯不胖
15,15%,我们的毕业歌,吕楚薇
16,15%,银河与星斗,yihuik苡慧
17,15%,那年年少,李袁杰
18,14%,不遗憾,李荣浩
19,13%,白鸽,你的上好佳
20,13%,热爱105°C的你,阿肆
1,3,我想要,盖君炎
2,1,半生雪,是七叔呢
3,0,大风吹 (Live),刘惜君/王赫野
4,2,雾里,姚六一
5,10,银河与星斗,yihuik苡慧
6,6,晴天,周杰伦
7,1,不该用情 (女声版),莫叫姐姐
8,3,窗,虎二
9,0,嘉宾,路飞文
10,2,热爱105°C的你,阿肆
11,0,来迟,戴羽彤
12,2,白鸽,你的上好佳
13,4,七里香,周杰伦
14,7,明明就,周杰伦
15,2,潮汐(Natural),安苏羽/傅梦彤
16,4,夜曲,周杰伦
17,10,别错过,程jiajia
18,4,好久不见,陆政廷Lil Jet
19,5,花海,周杰伦
20,4,嘉宾,张远
1,172%,小小孩,时代少年团
2,146%,被人,薛之谦
3,110%,蜜雪冰城主题曲 (官方版),蜜雪冰城
4,95%,风吹一夏,DP龙猪/Swei水/Rays陈袁
5,89%,Ring Ring Ring,S.H.E
6,83%,水晶上的牧羊女,张齐山
7,71%,Bad Habits,Ed Sheeran
8,64%,不良少年,Lil Ghost小鬼
9,63%,国际歌,孙楠/周深
10,63%,Ring Ring Ring,吴可儿Woo
11,59%,陪你看星星,陈子晴
12,52%,自愈,穆哲熙
13,46%,0222心动-比尔的歌,Bomb比尔
14,44%,Power(In Your Soul),Interupt/Luna LePage/Josip Mijatovic/Alex De Martin/Beth Emily Morris/Barnaby Edward English Cox
15,39%,3611,陈子晴
16,39%,好像正好也在喜欢你,赵旗
17,38%,未发送,阿冗
18,36%,鼓楼,王赫野
19,34%,Ring Ring Ring,不是花火呀
20,33%,有何不可,许嵩
